index,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Count,564.0,564.0,564.0,564.0,564.0,564.0
Mean,16.884135656028366,16.880580726950367,65.80088652482266,71.67198581560284,51.3386524822695,8.171099290780136
Median,19.047310000000003,22.05478,67.69,77.0,56.0,6.93
std,37.59313695346349,92.2866974241426,15.204058024742851,20.717122007737625,39.78324064831909,5.596276548108332
min,-88.21912,-178.44322000000003,16.56,8.0,0.0,0.13
max,88.21912,179.44571000000002,96.8,100.0,100.0,39.15
25%,-11.02739,-63.156870000000005,54.932500000000005,61.75,5.0,3.5900000000000003
50%,19.047310000000003,22.05478,67.69,77.0,56.0,6.93
75%,48.3701425,96.23904000000002,78.01,87.0,90.0,11.41
